epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1102.71,0.72529,2.15968,0.24101,0.54921,1.04211,0.9969,1,0.995,0.91361,0.98681,0.9901,0.99381,0.77243,0.42522,1.02002,0.1044,0.3539,0.85364,0.0009704,0.0009704,0.0009704
28,1138.99,0.65349,2.06651,0.22935,0.5045,0.99255,0.98882,1,0.995,0.9097,0.96924,0.9802,0.96649,0.61802,0.42112,1.41506,0.1046,0.3537,0.84856,0.0009308,0.0009308,0.0009308
29,1175.33,0.76211,2.48801,0.22331,0.57109,1.04171,1,0.996,0.995,0.9027,0.98012,0.9762,0.96646,0.68749,0.41964,1.19672,0.10282,0.34728,0.84939,0.0008912,0.0008912,0.0008912
30,1211.74,0.67097,2.16114,0.21424,0.52488,0.9751,1,0.99854,0.995,0.91738,1,0.99854,0.995,0.73501,0.39224,0.98654,0.10295,0.32867,0.83684,0.0008516,0.0008516,0.0008516
31,1250.05,0.67324,2.07139,0.22914,0.50168,0.98132,0.99921,1,0.995,0.9266,0.99921,1,0.995,0.71169,0.38197,1.0481,0.10654,0.31832,0.82965,0.000812,0.000812,0.000812
32,1291.77,0.65488,2.10012,0.22998,0.49822,0.97738,0.99848,1,0.995,0.93413,0.99848,1,0.995,0.72198,0.37212,1.0603,0.10641,0.3156,0.82607,0.0007724,0.0007724,0.0007724
33,1334.64,0.66279,1.83749,0.19083,0.49237,0.99939,0.99881,1,0.995,0.93145,0.99881,1,0.995,0.8021,0.36872,0.8361,0.10291,0.30823,0.82512,0.0007328,0.0007328,0.0007328
34,1379.05,0.62306,1.81971,0.21735,0.49626,0.9874,0.99902,1,0.995,0.93566,0.99902,1,0.995,0.80121,0.36248,0.80867,0.10119,0.29783,0.82087,0.0006932,0.0006932,0.0006932
35,1420.67,0.67348,1.87267,0.21527,0.50202,1.0144,0.99886,1,0.995,0.94211,0.99886,1,0.995,0.79702,0.37282,0.85893,0.09614,0.31269,0.81927,0.0006536,0.0006536,0.0006536
36,1464.24,0.6482,1.68626,0.21588,0.49677,0.99033,0.99928,1,0.995,0.94443,0.99928,1,0.995,0.79612,0.37108,0.84451,0.09541,0.31599,0.82218,0.000614,0.000614,0.000614
37,1505.34,0.59605,1.66889,0.20237,0.4584,0.974,1,0.99931,0.995,0.95005,1,0.99931,0.995,0.79762,0.341,0.84098,0.0961,0.3012,0.81962,0.0005744,0.0005744,0.0005744
38,1544.84,0.61266,1.82705,0.20604,0.48737,0.96953,0.99019,0.99979,0.9949,0.94192,0.99019,0.99979,0.9949,0.84182,0.36216,0.74244,0.09815,0.30382,0.82149,0.0005348,0.0005348,0.0005348
39,1580.68,0.63961,1.83793,0.22555,0.49339,0.98825,0.99967,1,0.995,0.9579,0.99967,1,0.995,0.82722,0.34,0.78455,0.10517,0.30185,0.81617,0.0004952,0.0004952,0.0004952
40,1616.21,0.57456,1.60602,0.21499,0.4834,0.96721,0.99795,1,0.995,0.94672,0.99795,1,0.995,0.84486,0.35407,0.72102,0.10802,0.30607,0.81994,0.0004556,0.0004556,0.0004556
41,1652.23,0.40215,0.85199,0.12427,0.36003,0.85261,0.99887,1,0.995,0.96319,0.99887,1,0.995,0.86489,0.31199,0.66502,0.10202,0.27772,0.80894,0.000416,0.000416,0.000416
42,1688.15,0.33707,0.85825,0.10309,0.30335,0.81209,0.99914,1,0.995,0.96772,0.99914,1,0.995,0.85952,0.2939,0.64825,0.09716,0.27417,0.80451,0.0003764,0.0003764,0.0003764
43,1724.14,0.34257,0.78024,0.09619,0.29797,0.82591,0.99933,1,0.995,0.96875,0.99933,1,0.995,0.89594,0.28473,0.5618,0.09502,0.26457,0.80183,0.0003368,0.0003368,0.0003368
44,1760.06,0.32402,0.7156,0.09664,0.27695,0.82685,0.99938,1,0.995,0.97465,0.99938,1,0.995,0.87823,0.27157,0.592,0.09584,0.25087,0.79674,0.0002972,0.0002972,0.0002972
45,1803.96,0.34433,0.78662,0.09339,0.28812,0.85348,0.99939,1,0.995,0.97583,0.99939,1,0.995,0.87925,0.27156,0.57387,0.09482,0.2442,0.79636,0.0002576,0.0002576,0.0002576
46,1844,0.34157,0.71382,0.10274,0.30016,0.8629,0.99937,1,0.995,0.97514,0.99937,1,0.995,0.90361,0.27005,0.49725,0.0917,0.23842,0.7964,0.000218,0.000218,0.000218
47,1881.98,0.32084,0.71658,0.09509,0.27721,0.83772,0.99937,1,0.995,0.97758,0.99937,1,0.995,0.91722,0.25976,0.4791,0.0893,0.24139,0.79494,0.0001784,0.0001784,0.0001784
48,1918.78,0.31871,0.81542,0.09634,0.27875,0.8213,0.99937,1,0.995,0.97505,0.99937,1,0.995,0.91196,0.25639,0.47652,0.08844,0.24137,0.79453,0.0001388,0.0001388,0.0001388
49,1955.63,0.29795,0.62638,0.08877,0.2733,0.81886,0.99937,1,0.995,0.97959,0.99937,1,0.995,0.91346,0.24946,0.47589,0.08775,0.2358,0.79338,9.92e-05,9.92e-05,9.92e-05
50,1991.69,0.2885,0.62415,0.08748,0.26182,0.81585,0.99938,1,0.995,0.97952,0.99938,1,0.995,0.91583,0.24665,0.46153,0.08758,0.23301,0.79281,5.96e-05,5.96e-05,5.96e-05
